Income_annual,Employment_Status,Loan_Amount,Loan_Term_Months,Credit_Utilization,Previous_Defaults_Count,Age,Marital_Status,Num_Dependents,Default_Status
44297,Employed,21007,48,0.7175456897918986,0,58,Married,4,0
34361,Employed,84777,12,0.20140495650033208,0,66,Married,1,0
47055,Employed,49858,12,0.8255283454636689,0,29,Married,3,0
66783,Employed,50073,48,0.5724283517456205,0,56,Single,1,0
33068,Employed,94438,24,0.6906085445992328,1,46,Single,1,1
33068,Employed,95042,12,0.1251037504134824,1,31,Single,2,0
68301,Employed,88098,36,0.3522439201592026,1,40,Single,0,0
49363,Self-Employed,25239,48,0.3139563315163294,0,68,Single,1,1
30097,Employed,67969,48,0.8596759962302967,0,68,Married,1,1
45117,Employed,18065,60,0.24827085510426886,0,68,Single,1,0
30170,Employed,46291,24,0.665641381371274,0,58,Married,1,0
30143,Unemployed,43805,36,0.13420283019943444,1,35,Single,1,1
40006,Employed,23443,36,0.25814726855539083,0,55,Single,2,0
16893,Self-Employed,14290,60,0.37087788340348227,0,29,Single,1,1
18215,Employed,5211,12,0.7356046782997934,0,53,Single,2,0
29000,Employed,88634,12,0.7319812640494403,0,31,Married,2,1
24218,Employed,24072,36,0.8620814893945296,0,42,Single,4,0
41179,Employed,48290,24,0.8334140021335078,0,26,Married,3,0
25255,Unemployed,90186,12,0.16521167603601308,0,57,Married,2,0
20641,Unemployed,20115,48,0.7638941777157567,0,41,Married,0,0
65268,Employed,10149,60,0.4609388636320134,1,32,Married,0,0
33179,Employed,46992,24,0.7927088725837867,1,27,Married,2,1
37309,Unemployed,22716,12,0.17142900122490445,1,22,Single,2,0
20539,Employed,18621,36,0.7582152812058686,0,59,Married,2,0
29209,Employed,11820,60,0.22771401520061946,1,61,Married,1,0
37963,Employed,47800,12,0.3670733040554738,0,44,Single,3,1
22916,Employed,60043,36,0.12307872023201734,0,46,Married,3,0
42204,Employed,35399,12,0.19898247054971085,0,45,Married,0,0
28559,Employed,19002,60,0.45658070832990616,0,40,Married,1,1
32316,Employed,48098,48,0.7546706685075762,0,60,Single,0,0
28547,Employed,50511,48,0.7189358170920398,0,61,Single,1,0
76184,Employed,58243,36,0.2882382094210506,2,62,Single,2,0
36119,Employed,33750,48,0.2213523592554248,3,64,Married,2,0
23787,Self-Employed,96610,60,0.41141077038541607,0,22,Single,0,0
50464,Employed,22310,36,0.8066146777703078,0,62,Single,2,0
22284,Employed,60398,12,0.17314005933040255,0,55,Single,4,0
39479,Unemployed,87542,24,0.5343312082754802,1,53,Single,2,0
16582,Unemployed,80207,12,0.17104598352243353,0,37,Single,2,0
21348,Employed,49345,60,0.4761696969313912,0,42,Married,2,0
39290,Employed,98430,36,0.20143320972878584,0,21,Married,1,0
48795,Self-Employed,96729,12,0.16426954799949184,0,57,Single,0,0
38892,Self-Employed,56843,36,0.2526794664508678,0,50,Married,2,0
34673,Unemployed,15222,48,0.304204815495013,0,66,Married,2,0
32194,Self-Employed,94322,24,0.32101230330513986,0,26,Single,0,0
20102,Employed,36509,60,0.6162143577978663,0,61,Married,2,0
27229,Employed,5386,12,0.14398550049830502,1,34,Single,4,0
30204,Employed,69334,24,0.1646472479242913,0,56,Married,4,1
55428,Employed,72170,60,0.25096492918341373,0,53,Married,3,0
41666,Employed,45878,60,0.7976504553451376,1,58,Married,2,1
17939,Employed,74669,48,0.6028839408505863,0,59,Single,2,0
41341,Employed,43349,36,0.6842957273503645,0,26,Married,0,0
31131,Self-Employed,26952,36,0.3962897244461273,1,46,Married,0,0
27701,Employed,95352,24,0.2705762792560007,0,44,Married,1,0
46382,Employed,26529,48,0.13036908877033027,0,53,Married,1,0
54852,Employed,76303,60,0.49082849597751377,0,28,Married,2,0
52707,Employed,46521,48,0.5594247713818503,0,64,Single,1,0
25960,Self-Employed,23383,48,0.8176022355021695,0,63,Single,2,1
32090,Employed,9901,24,0.8056743829991951,0,54,Married,2,0
41460,Unemployed,47889,36,0.43974812677780395,1,54,Married,2,0
53648,Employed,19633,48,0.43886234320276973,0,44,Single,2,0
29981,Employed,67244,48,0.22889831737266697,0,22,Single,2,0
33716,Employed,24163,48,0.3059591902740727,0,28,Single,4,0
23329,Employed,64019,12,0.8405308610567132,0,45,Married,3,0
22505,Self-Employed,15707,48,0.2128288087481617,0,50,Married,0,0
50262,Employed,93112,48,0.8749596373949212,0,52,Married,5,0
62473,Self-Employed,88597,60,0.5037908401721571,0,50,Single,3,1
35284,Employed,50101,12,0.46528541981346494,0,27,Single,0,0
54252,Self-Employed,49706,48,0.2397107045490836,1,68,Married,0,0
41967,Employed,82084,48,0.6292330003859846,0,44,Single,0,1
28055,Self-Employed,20115,24,0.46787641468979835,0,29,Single,1,0
41963,Employed,80379,24,0.396530454330577,0,36,Married,1,0
67185,Employed,44979,12,0.3116129748682336,0,22,Married,2,0
35798,Employed,45641,60,0.15318944241189758,0,55,Single,1,1
67904,Unemployed,74377,12,0.5154624932408767,0,54,Married,2,1
12734,Employed,11416,12,0.35032666644690946,0,42,Single,2,0
50451,Employed,15633,24,0.6662921624022177,0,39,Single,3,0
37602,Self-Employed,5594,24,0.678817885399322,0,69,Single,1,0
32221,Employed,19393,60,0.3656856092302372,0,41,Married,2,0
37673,Employed,40380,48,0.6352965468534088,0,32,Single,1,0
16398,Employed,50056,60,0.3069401922235955,0,31,Married,1,0
33260,Employed,93279,48,0.6817389809937223,0,39,Single,1,0
41891,Unemployed,9861,36,0.1128617164361776,0,26,Single,3,0
65588,Self-Employed,41126,24,0.22128701358825023,0,62,Single,3,0
29516,Employed,85382,36,0.296006929525949,0,34,Married,0,0
26281,Unemployed,96713,36,0.7183483895892051,0,53,Married,2,1
29711,Employed,38682,24,0.15310100246752684,1,67,Married,0,0
52373,Employed,23228,36,0.25044571497242474,0,58,Married,0,0
41419,Employed,29009,12,0.38689928440415533,0,33,Married,0,0
29380,Employed,5094,48,0.10733999532232873,1,46,Married,0,0
44591,Employed,85636,60,0.7096967802995269,0,34,Married,3,1
37753,Unemployed,57221,24,0.5480841197377077,1,65,Married,1,0
53501,Self-Employed,22430,12,0.8205435096160139,0,44,Married,1,0
27424,Employed,40571,60,0.12482482603595635,0,68,Married,1,0
31854,Employed,59486,60,0.31711254701305625,0,21,Married,3,0
31043,Self-Employed,95510,60,0.6850013259493617,0,66,Single,2,0
20223,Unemployed,67294,36,0.6401195355591796,0,65,Married,3,0
40882,Self-Employed,25860,36,0.29444595248376637,0,50,Single,0,0
40312,Employed,77812,36,0.5765501879744498,0,30,Single,2,0
36389,Self-Employed,71087,36,0.735006122486203,0,30,Married,0,1
33062,Employed,13486,12,0.1267045626676918,0,48,Single,1,0
20616,Employed,88063,36,0.6741027174955319,0,24,Married,2,1
